episode,reward,loss,dqn_bottleneck,spf_bottleneck,latency_ms,jitter_ms,loss_pct,epsilon
310,-390.9304,63.5841,96.48,96.48,457.99,1031.178,22.848,0.876
311,-43.2102,72.7767,74.55,60.11,126.11,125.717,0.524,0.876
312,9.1017,152.6907,37.8,96.22,10.22,2.457,0.019,0.875
313,7.2215,126.4016,40.2,93.45,60.96,10.21,0.02,0.875
314,-2.1877,51.2518,44.71,21.94,31.43,6.163,0.022,0.874
315,3.7126,45.9756,42.16,42.16,4.04,1.258,0.021,0.874
316,-1485.381,47.8943,100.0,100.0,2099.52,4724.27,30.05,0.874
317,3.4925,54.7112,46.56,46.56,7.51,2.071,0.023,0.873
318,5.2927,23.5709,44.07,82.55,51.73,10.186,0.022,0.873
319,1.5788,750.8472,45.65,45.65,39.23,8.521,0.023,0.872
320,3.7065,46.8835,39.1,39.1,4.36,1.192,0.02,0.872
321,-47.976,469.4231,79.27,17.19,251.23,344.143,2.316,0.872
322,3.1365,507.5098,45.55,45.55,12.66,3.571,0.023,0.871
323,-812.0393,96.6097,100.0,23.02,2937.43,6611.676,30.05,0.871
324,-2966.647,470.7841,100.0,100.0,4240.11,9541.657,30.05,0.87
325,8.8973,110.8844,40.53,96.71,4.72,1.286,0.02,0.87
326,-120.5229,81.8286,81.77,81.77,200.36,331.743,3.88,0.87
327,7.5983,102.1621,45.1,94.34,10.54,3.157,0.023,0.869
328,6.7713,553.415,41.38,90.87,53.8,9.872,0.021,0.869
329,-4.698,157.7301,41.05,29.79,40.13,6.913,0.021,0.868
330,0.7077,152.6788,34.68,28.13,3.81,1.016,0.017,0.868
331,-2.5938,31.781,54.38,28.55,44.07,13.903,0.027,0.868
332,8.1855,127.6728,43.65,97.29,11.53,3.155,0.022,0.867
333,9.0204,158.3808,33.67,95.57,57.94,6.905,0.017,0.867
334,-1.1979,36.8302,41.24,36.3,32.65,5.653,0.021,0.866
335,0.7314,175.0082,29.75,23.19,3.57,0.902,0.015,0.866
336,-0.1715,134.4361,59.63,87.23,80.59,33.692,0.03,0.866
337,8.0277,140.786,43.46,97.26,15.16,4.38,0.022,0.865
338,2.6018,144.4556,35.28,35.28,27.3,3.063,0.018,0.865
339,7.6211,113.5108,39.79,88.66,23.24,4.149,0.02,0.864
340,-458.654,134.0766,100.0,100.0,524.88,1181.68,30.05,0.864
341,-30.8342,36.8178,75.79,23.27,189.44,203.625,0.853,0.864
342,3.1853,151.6652,46.9,46.9,11.51,3.544,0.023,0.863
343,-2.6703,58.0422,44.28,44.28,38.43,7.487,0.022,0.863
344,-3.5339,143.6377,42.35,28.72,51.94,9.369,0.021,0.862
345,9.1329,112.1131,35.12,91.11,3.8,1.025,0.018,0.862
346,-1.925,61.4755,49.42,49.42,24.89,6.806,0.025,0.862
347,8.6464,150.2253,36.77,90.94,10.03,2.366,0.018,0.861
348,-3.5399,101.2503,29.18,29.11,41.42,4.691,0.015,0.861
349,8.7175,64.0879,37.24,96.78,43.41,6.066,0.019,0.86
350,0.6516,47.5038,40.16,27.14,4.48,1.244,0.02,0.86
351,-1521.431,82.3869,100.0,100.0,2099.52,4724.27,30.05,0.86
352,-346.0336,78.8329,100.0,100.0,410.51,926.445,30.05,0.859
